Year_1,Seed_1,Team_1,ADJOE_1,ADJDE_1,BARTHAG_1,Record_1,Wins_1,Games_1,EFG%_1,EFGD%_1,FTR_1,FTRD_1,TOR_1,TORD_1,ORB_1,DRB_1,,2P%_1,2P%D_1,3P%_1,3P%D_1,,,ASTR_1,ASTRD_1,3PR_1,3PRD_1,ADJT_1,,,,,,,,SOS_1,,,Losses_1,Year_2,Seed_2,Team_2,ADJOE_2,ADJDE_2,BARTHAG_2,Record_2,Wins_2,Games_2,EFG%_2,EFGD%_2,FTR_2,FTRD_2,TOR_2,TORD_2,ORB_2,DRB_2,,2P%_2,2P%D_2,3P%_2,3P%D_2,,,ASTR_2,ASTRD_2,3PR_2,3PRD_2,ADJT_2,,,,,,,,SOS_2,,,Losses_2
,,Connecticut,126.4789339,94.50133554,0.9661640783,31–3,31,34,57.1,45.1,33.3,32.5,14.9,16.2,36.5,26.8,66.2,58.5,43.7,36.7,31.9,14.2,8.3,63.7,46,40.9,33.2,65.6,,,,2024,,,,10.91167433,74.2,72.2,,,,Stetson,108.6296172,114.1933562,0.3602189779,19–12,19,31,53.4,52,31.7,25.9,15.8,13.5,27.5,31.2,66.7,52.5,52.2,36.5,34.5,7.8,8.1,48.7,49.5,41.8,37.4,66.9,,,,2024,,,,-6.865105404,76.3,73.3,12
,,Florida Atlantic,117.6523776,102.5018559,0.8299558403,25–8,25,33,55,49.7,34.8,27.5,15.8,16.5,33.8,29.2,69,56,49.3,35.6,33.6,7.8,6.7,51,37.9,38.8,36.3,68.9,,,,2024,,,,1.260348085,72,72.7,,,,Northwestern,116.4566981,99.60673242,0.8578238754,21–11,21,32,53.2,51.6,29.9,39.4,13.3,18.8,25.7,28.2,64.6,49.7,50.3,39.4,35.9,9.9,10.3,59.6,58.7,36.8,36.9,64.7,,,,2024,,,,1.402008653,74.8,72,11
,,San Diego St.,112.0514999,94.04748634,0.8822930002,22–10,22,32,49.8,47.2,37.5,33.3,16,18,32.7,28,67,51.6,48.3,31.3,30.5,11.9,8.9,50.8,48.6,37.8,40.5,67.1,,,,2024,,,,2.724210934,72.9,70.1,,,,UAB,112.4013884,106.8232712,0.6422988087,22–11,22,33,50.1,51,40.5,31.4,16.7,16.1,35.3,31,68.7,50.4,50.2,33.1,35,12.3,10,49.6,48.9,31.3,36.7,68.7,,,,2024,,,,-2.654065115,74.3,72.2,11
,,Auburn,120.6101962,92.2272066,0.9562927272,27–7,27,34,54.1,43.4,38.2,41,14.9,18.2,32.9,30.3,71,54.9,42.8,35.2,29.8,16,8.6,62,42.8,37.5,33.3,70.8,,,,2024,,,,5.343262253,75.2,73.6,,,,Yale,109.9134915,100.331976,0.7405646547,20–9,20,29,52.3,49.7,26.9,29,14.1,16,28.4,24,65.6,52.5,48.8,34.6,34,10,8.6,53.3,57.3,35.3,41.4,65.6,,,,2024,,,,-2.520521637,70.7,73.8,9
,,BYU,120.4306403,98.29305365,0.9118059123,23–10,23,33,55.1,48,25.3,32.1,15.2,16,32.8,24.7,70,58,48.2,34.8,31.8,7.7,7.1,63.2,47.2,50.7,34.1,69.9,,,,2024,,,,2.622956053,73.8,69.8,,,,Duquesne,106.9870839,97.06125054,0.7539344958,23–11,23,34,50.1,48,33.1,35.3,17.5,19.5,29.9,30,66.8,49.6,48.4,33.9,31.7,12.7,11.4,53.8,52.3,39.7,37.3,67.3,,,,2024,,,,-1.881456469,71.4,70.7,11
,,Illinois,124.3585559,100.4326214,0.9210966948,26–8,26,34,53.8,48,37.8,27.1,15.1,12.3,36.2,26.1,70.5,54.7,46.6,34.9,34.3,8.2,8.3,44.4,42.6,38.3,27.9,70.8,,,,2024,,,,5.894158092,74.5,71.7,,,,Morehead St.,106.6747512,103.513512,0.5856343788,22–8,22,30,54.4,45.7,31.3,32.7,18.5,15.5,32,26.4,65.7,55.6,45.4,35.3,31.1,11.2,7.9,52.4,41.1,45.1,31.2,65.3,,,,2024,,,,-3.403089377,71.5,75.8,8
,,Washington St.,112.6527173,96.96033904,0.8487832152,24–9,24,33,52.1,47.3,31.7,32.7,16.1,15.9,32.9,24.9,66.7,52.6,46.9,34,32,12.2,6.6,45.7,44.3,32,31.5,65.9,,,,2024,,,,1.918923728,70.1,73.5,,,,Drake,114.578898,100.1930548,0.8238851728,27–6,27,33,54.9,51,32.6,31,13.9,17.4,24.2,22.1,68.7,55.1,51.9,36.5,33,4.5,7.2,55.9,41.6,39.6,39.3,68.8,,,,2024,,,,1.779466685,76.3,70.2,6
,,Iowa St.,113.6910115,87.36864352,0.953845216,27–7,27,34,51.9,47.1,36.1,35.2,15.7,25.7,31.6,29.4,68.2,51.7,46.9,34.9,31.5,10.8,8.7,58,58.9,32,45,68.6,,,,2024,,,,6.641031013,69.7,71.2,,,,South Dakota St.,107.8452289,105.1165905,0.5731489878,19–12,19,31,55.3,50.8,30.4,27.4,16.4,16.5,24.4,25.3,68.2,55.9,49,36.2,35.2,9.7,8.7,46.4,47.5,40.2,47.1,68.9,,,,2024,,,,-7.504643639,71.6,74.3,12
,,Houston,118.7734644,85.05719474,0.9789541671,30–4,30,34,49.7,44,29.9,39,13.7,24.7,36.9,30.2,64.2,48.4,43.4,34.7,30,16.1,7.4,49.1,60.2,36.6,40.9,64.3,,,,2024,,,,10.34467214,69.4,67,,,,Longwood,103.592326,104.1933478,0.483374162,18–13,18,31,49.4,51.3,39.5,36.1,18,19.6,36.7,25.5,68,48.6,50.9,34.2,34.6,7.2,7.2,48,49.3,28.3,39.5,67.8,,,,2024,,,,-8.694133149,68.8,70.1,13
,,Nebraska,115.9869958,96.72123435,0.8898214685,23–10,23,33,53.2,46.3,32.4,27.7,15.9,16.4,27.8,30,69.3,52.8,45.2,35.8,31.9,7.2,10.8,57.1,52.5,44.5,41.7,69.6,,,,2024,,,,2.257145861,75.4,69.9,,,,Texas A&M,115.061788,99.58528699,0.8404031327,20–14,20,34,45.4,50.1,38.2,31.2,14.2,16.9,41.9,28,67.4,47,49.5,28.4,33.9,8.9,13.6,44.5,59.9,38.1,44.9,66.5,,,,2024,,,,0.07247643409,70.9,70.7,14
