
Year_1,Seed_1,Team_1,Round_1,CurrentRound_1,Score_1,Outcome_1,ADJOE_1,ADJDE_1,BARTHAG_1,Record_1,Wins_1,Games_1,EFG%_1,EFGD%_1,FTR_1,FTRD_1,TOR_1,TORD_1,ORB_1,DRB_1,,2P%_1,2P%D_1,3P%_1,3P%D_1,,,ASTR_1,ASTRD_1,3PR_1,3PRD_1,ADJT_1,,,,,,,,SOS_1,,,Losses_1,Year_2,Seed_2,Team_2,Round_2,CurrentRound_2,Score_2,Outcome_2,ADJOE_2,ADJDE_2,BARTHAG_2,Record_2,Wins_2,Games_2,EFG%_2,EFGD%_2,FTR_2,FTRD_2,TOR_2,TORD_2,ORB_2,DRB_2,,2P%_2,2P%D_2,3P%_2,3P%D_2,,,ASTR_2,ASTRD_2,3PR_2,3PRD_2,ADJT_2,,,,,,,,SOS_2,,,Losses_2
2008,1,North Carolina,4,64,113,1,120.2407479,91.77037238,0.9571959048,32–2,32,34,52.4,48,39.1,25.5,19,21.2,42.4,28.7,76.1,51.2,47,37.8,33.2,11,10,52.5,50.4,22.2,34.8,75.1,,,,2008,,,,11.89689658,75.4,66.5,2,2008,16,Mount St. Mary's,64,64,74,0,97.2977294,99.10138078,0.4473882725,18–14,18,32,50.2,46.4,38.7,38.6,20.9,22,30,33,68.4,48.1,45.7,36.7,32.1,9.5,7.5,53,47.8,30.1,30.7,67.5,,,,2008,,,,-9.460369592,69.6,70.3,14
2008,8,Indiana,64,64,72,0,113.6201782,93.11596206,0.907935021,25–7,25,32,52.4,46.9,42.7,30,20.2,19.9,36.1,28.9,67.3,52.6,44.8,34.6,33.8,10.4,7.9,52,56.1,34.8,35.7,68.6,,,,2008,,,,4.75321374,76.3,64.2,7,2008,9,Arkansas,32,64,86,1,108.1667624,92.24732433,0.861858172,22–11,22,33,51.7,47.4,37.1,36.5,22.1,21.7,37.6,31.4,69.6,52,46.4,33.9,32.8,14.6,9.8,54.4,52.3,30.2,34.8,68.9,,,,2008,,,,0.5368802812,67.2,70,11
2008,5,Notre Dame,32,64,68,1,115.5585039,95.30968256,0.9016260223,24–7,24,31,52.8,46.9,34.8,22.8,18.2,17.6,36.6,31,71.3,48.4,44.7,41,34.1,8.7,9.3,67.1,57.3,33.5,33.3,70.8,,,,2008,,,,4.376777866,73.6,64.6,7,2008,12,George Mason,64,64,50,0,109.1820936,98.79520256,0.7594437479,23–10,23,33,52.8,47.3,40.3,27.3,18.7,18.3,32.2,27.8,63.3,52.8,46.4,35.2,32.8,8.8,7.3,54.1,51.1,33.4,33,63.8,,,,2008,,,,-3.571804163,70.4,71.9,10
2008,4,Washington St.,16,64,71,1,114.2136172,91.69838081,0.9258764012,24–8,24,32,54.4,47.7,39.8,28.8,17.2,22.2,28.1,30.1,59.5,52.9,46.3,38.1,33.7,8.7,7.7,58.9,50.1,34.4,32.5,60.1,,,,2008,,,,4.908080099,73.3,72.4,8,2008,13,Winthrop,64,64,40,0,98.13278249,90.81128738,0.7092379423,20–11,20,31,50,46.1,36.3,33.8,20,23.4,33.8,29,64,47.1,45.8,37.4,31,11.8,7.1,54.7,59.8,31.7,42.8,63.5,,,,2008,,,,-4.248254405,59.8,69.6,11
2008,6,Oklahoma,32,64,72,1,107.9506253,92.26584615,0.8588169986,22–11,22,33,50.1,46.2,38.1,30.4,19.6,20.2,33.5,30,65,49,45.4,34.8,31.9,11,9.2,52.1,45.7,33.5,35,65.4,,,,2008,,,,2.801647015,68.1,73.8,11,2008,11,Saint Joseph's,64,64,64,0,113.2789712,98.51897806,0.8327787206,21–12,21,33,54.6,50.3,40,32.6,19.3,21.6,32.5,34.1,65.4,52.8,47.2,38.5,36.9,13.7,10.1,58.8,60.7,35.8,37.7,65.5,,,,2008,,,,-1.240719864,72.6,68.4,12
2008,3,Louisville,8,64,79,1,110.3316013,87.41108481,0.9357150398,24–8,24,32,52,43.8,36.4,33.2,19.6,21.4,33.4,30.7,67.2,52.5,42.3,34.2,31,13.6,8.6,58.1,57.1,39.1,35.1,67.5,,,,2008,,,,4.741269244,65.5,68.2,8,2008,14,Boise St.,64,64,61,0,106.2429929,102.5956328,0.599104473,24–8,24,32,57.3,49.9,40.3,33.6,21,19.4,30.2,29.5,72.9,56.1,48.9,39.6,34.7,5.7,8.1,60.6,49.5,35.7,31.8,73,,,,2008,,,,-2.384583297,66.6,71.1,8
2008,7,Butler,32,64,81,1,114.2259089,95.26269254,0.8897027744,29–3,29,32,54.1,48,36.8,31.2,16.9,22.8,29.7,31.6,60.2,52,47.9,37.6,32.1,7.5,9.2,57.2,45.6,48.6,31.3,61.2,,,,2008,,,,4.729893703,73.7,67.5,3,2008,10,South Alabama,64,64,61,0,110.4828901,98.24786465,0.7940842138,24–6,24,30,54,47.9,45.7,31.2,20.6,20.5,37.9,30.5,67,53.2,47.2,37,32.6,8.4,8.3,61.4,55.9,33.5,37.1,66.6,,,,2008,,,,-0.2531271756,71.1,66.4,6
2008,2,Tennessee,16,64,72,1,116.2974485,92.19603698,0.9352748558,28–4,28,32,52.8,49.2,36.8,39.4,17.7,24.6,37,34.3,73,51.7,50.8,36.4,31,9.1,10.9,61.6,55.5,39.1,35.6,72.7,,,,2008,,,,9.194539261,65.4,67.4,4,2008,15,American,64,64,57,0,105.041322,104.5101913,0.5145698953,21–11,21,32,52.5,47.5,42.1,38,22.1,19.7,32.3,30.2,61.5,46.5,44.6,40.9,35.1,8.1,13.3,56.3,54.4,40.1,35.4,62.7,,,,2008,,,,-5.815178897,74.3,73.8,11
2008,1,Kansas,1,64,85,1,120.9706415,85.61049223,0.9815851328,30–3,30,33,56.3,44.8,37.5,30.8,18.7,22.9,38,29,69,54.8,40.9,39.9,34,17.7,6.5,62.8,53.5,29.2,38.1,69.5,,,,2008,,,,9.927647648,70.8,67.7,3,2008,16,Portland St.,64,64,61,0,105.2781114,101.8197809,0.5948647302,21–9,21,30,54.7,50,38.2,35.3,20.7,21.5,34,31.3,67.3,51.2,49.4,39.9,34.2,9.4,6.3,61.4,54.8,41,33.5,68.2,,,,2008,,,,-3.38518147,67.1,72.5,9
2008,8,UNLV,32,64,71,1,108.2380277,93.85457226,0.8374998601,25–7,25,32,48.8,46.1,32.7,32.4,15.8,21.6,29.4,32.4,66.1,47.7,46.7,33.5,29.9,8.6,8.7,61.8,55.1,39.8,37.2,66.1,,,,2008,,,,2.216456967,74.4,66.6,7,2008,9,Kent St.,64,64,58,0,106.7942284,94.19030991,0.8091112482,28–6,28,34,52.9,46.2,41.6,38.5,21.6,24.2,36,35.9,65.2,51.4,45.6,37.6,31.7,11.2,10.1,58.3,54.6,30.5,33.1,66.3,,,,2008,,,,2.317008204,70.6,67.6,6
